subcategory_name,character_name,vote_count,mbti,eneagrama,grupo
Gunnm,"Gally ""Alita""",78,ISTP, 8w7,Explorador
BNA (Brand New Animal),Alan Sylvasta,78,INTJ, 3w2,Analista
Shadows House,Ram,78,INFP, 9w1,Diplomatico
Beastars,Aoba,78,ISTJ, 1w9,Sentinela
Kanata no Astra,Zweig Ulgar,78,ISTP, 8w9,Explorador
Ani ni Tsukeru Kusuri wa Nai!,Shi Fen,78,ENTP, 7w8,Analista
Akatsuki no Yona,Lee Geun-Tae,78,ESTP, 7w8,Explorador
No Game No Life,Fiel Nirvalen,78,INFP, 9w1,Diplomatico
Akatsuki no Yona,Kye-Sook,78,INTJ, 5w6,Analista
Naruto Shippūden,Sakumo Hatake,78,INFP, 6w5,Diplomatico
Noragami,Daikoku,78,ISTP, 8w9,Explorador
Gintama,Terada Ayano (Otose),78,ESFJ, 1w2,Sentinela
Koro Sensei Quest!,Karma Akabane (manga),78,ENTP, 8w7,Analista
Pokémon,Alain (Alan),78,INFP, 5w4,Diplomatico
Boruto - Naruto Next Generations,Denki Kaminarimon,78,ISFJ, 6w5,Sentinela
Berserk,Morda,78,ESTP, 7w8,Explorador
Gintama,Tokugawa Shigeshige,78,ENFJ, 9w1,Diplomatico
Jujutsu Kaisen,Haruta Shigemo,78,ESFP, 6w7,Explorador
Poputepipikku,Pipimi,78,INFJ, 9w8,Diplomatico
JoJo no Kimyou na Bouken,Terunosuke Miyamoto,78,INTJ, 6w5,Analista
To LOVE-Ru,Yūki Rito,78,ISFP, 4w3,Explorador
Hoshiai no Sora,Ouji Arashi,78,ESTP, 8w7,Explorador
JoJo Stands,『Wonder of U』/ Satoru Akefu,78,INTJ, 8w9,Analista
Pokémon,Drew (Shū/Shuu),78,INTJ, XwX,Analista
Rurouni Kenshin,Sojiro Seta,78,INFP, 4w5,Diplomatico
Bungou Stray Dogs Wan!,Chuuya Nakahara,78,ESTP, 8w7,Explorador
Pokémon,Lana (Suiren) (anime),78,INFP, 9w8,Diplomatico
Shounen no Abyss,Kosaku Esemori,78,INTP, 5w4,Analista
Fairy Tail,Irene Belserion,78,ENTJ, 3w2,Analista
Yuru Yuri,Yoshikawa Chinatsu,78,ISFP, 4w3,Explorador
Dragon Ball Z,Turles,78,ESTP, 8w7,Explorador
Saint Seiya The Lost Canvas,Alone,78,INFJ, 4w5,Diplomatico
Serial Experiments Lain,Mika Iwakura,78,ESTJ, 8w7,Sentinela
Pretty Cure Series,Hanasaki Tsubomi/Cure Blossom,78,INFP, 6w5,Diplomatico
No. 6,Inukashi,78,ESFP, XwX,Explorador
Kaichou wa Maid-sama!,Shouichirou Yukimura,78,ISFJ, 6w5,Sentinela
Kuroshitsuji,Angela Blanc,78,ENTJ, 1w2,Analista
K,Neko,78,ESFP, 7w6,Explorador
Sket Dance!,Kazuyoshi Usui (Switch),78,INTP, 5w4,Analista
Ore no Imouto ga Konna ni Kawaii Wake ga Nai (Oreimo),Kyousuke Kousaka,78,ISTP, 5w6,Explorador
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka (Danmachi),Ais Wallenstein,78,ISTJ, 9w1,Sentinela
Boku no Hero Academia,Tomoko Shiretoko “Ragdoll”,77,ENFP, 7w6,Diplomatico
Smile Precure!,Yayoi Kise (Cure Peace),77,INFP, 9w1,Diplomatico
Araburu Kisetsu no Otome-domo yo (Araoto),Hongou Hitoa,77,INTP, 4w5,Analista
Blend-S,Amano Miu,77,ENTP, 4w3,Analista
The Evillious Chronicles,Gallerian Marlon,77,ENTJ, 8w7,Analista
Tenki no Ko,Keisuke Suga,77,ISTP, 9w8,Explorador
Machikado Mazoku,Momo Chiyoda,77,ISTJ, 5w6,Sentinela
Sailor Moon Crystal (2014),Mamoru Chiba (Tuxedo Mask),77,INTJ, 1w9,Analista
Shingeki! Kyojin Chuugakkou,Mikasa Ackerman,77,ISTJ, 6w5,Sentinela
Fullmetal Alchemist: Brotherhood,Barry the Chopper,77,ESTP, 7w8,Explorador
Nagi no Asukara (Nagiasu),Shiodome Miuna,77,INFP, 6w5,Diplomatico
Tensei Shitara Slime Datta Ken (Tensura),Shizue Izawa,77,INFJ, 1w2,Diplomatico
Comic Girls,Moeta Kaoruko,77,INFP, 9w1,Diplomatico
Inazuma Eleven,Midorikawa Ryuuji,77,ENFJ, 4w3,Diplomatico
Dr. Stone,Francois,77,ISTJ, 1w9,Sentinela
Slam Dunk,Takenori Akagi,77,ISTJ, 1w9,Sentinela
Dororo,Daigo Kagemitsu,77,ESTJ, 8w7,Sentinela
K,Kuroh Yatogami,77,ISTJ, 6w7,Sentinela
"Tsukisusumu, Kinsou no Vermeil",Vermeil,77,ENTP, 7w8,Analista
One Piece,Sengoku,77,ISTJ, 1w9,Sentinela
Kieta Hatsukoi,Aoki Souta,77,ENFP, 4w3,Diplomatico
Blue Period,Nekoyashiki,77,ENTJ, 3w4,Analista
JoJo no Kimyou na Bouken,Wekapipo,77,ISTJ, 6w5,Sentinela
Re:Zero Kara Hajimeru Isekai Seikatsu,Fortuna,77,ENFJ, 1w2,Diplomatico
Super Crooks,Johnny Bolt,77,ESTP, 7w8,Explorador
Galaxy Angel,Mint Blancmanche,77,INFJ, 5w4,Diplomatico
Hige wo Soru. Soshite Joshikousei wo Hirou.,Airi Gotou,77,INFJ, 2w1,Diplomatico
Grappler Baki,Jack Hanma,77,ISTP, 8w9,Explorador
Space✰Dandy,Dandy,77,ESFP, 7w8,Explorador
ReLIFE,Onoya An,77,ENTP, 7w8,Analista
Fullmetal Alchemist: Brotherhood,Fu,77,ISTJ, 1w9,Sentinela
Mirai Nikki,Ai Mikami,77,ISFJ, 6w7,Sentinela
Death Note,The Shinigami King,77,INTJ, 8w9,Analista
Umi ga Kikoeru,Yutaka Matsuno,77,INTJ, 1w9,Analista
Diamond no Ace,Okumura Koushuu,77,INFJ, 6w5,Diplomatico
Naruto Shippūden,Fuu,77,ESFP, 7w8,Explorador
Black Clover,Liebe,77,ENTP, 7w8,Analista
Hello World,Ruri Ichigyou,77,INTJ, 6w5,Analista
Pokémon,Squirtle (Zenigame),77,ENFJ, 6w7,Diplomatico
Nanbaka,Momoko Hyakushiki,77,ENTJ, 3w2,Analista
Space Pirate Captain Harlock,Captain Harlock,77,INTJ, 5w6,Analista
Boku no Hero Academia,Kendo Rappa,76,ESTP, 8w7,Explorador
Yuri!!! on Ice,Lilia Baranovskaya,76,ESTJ, 1w9,Sentinela
Blood Lad,Blood Daniel Braz,76,INTJ, 5w6,Analista
Kuroshitsuji,Gregory Violet,76,ISFP, 4w5,Explorador
Shiki,Seishin Muroi,76,INFJ, 1w2,Diplomatico
Bleach,Quincy Zangetsu,76,INFJ, 5w4,Diplomatico
Boys Run The Riot,Watari Ryou,76,ISFP, 6w5,Explorador
Kishuku Gakkou no Juliet,Persia Juliet,76,INFJ, 6w5,Diplomatico
Vinland Saga,Thorfinn (Bug-eyes),76,ISTP, 6w5,Explorador
Ryman's Club,Miyazumi Tatsuru,76,ENTP, 7w6,Analista
Code Geass,Marianne vi Britannia,76,ENFJ, 6w5,Diplomatico
Kuroshitsuji,Hannah Annafellows,76,INFP, 2w1,Diplomatico
Corpse Party: Tortured Souls,Seiko Shinohara,76,ENFP, 7w6,Diplomatico
Captain Tsubasa,Tsubasa Ozora,76,ENFP, 3w2,Diplomatico
SSSS.Gridman,Rikka Takarada,76,ISFJ, 9w1,Sentinela
Charlotte,Kumagami Takehito,76,ISFP, 9w1,Explorador
Corpse Party: Tortured Souls,Naho Saenoki,76,INTJ, 5w6,Analista
Magi,Arba,76,ENTJ, 1w2,Analista
Pokémon,Sabrina (anime),76,INTJ, 5w4,Analista
Nana,Asami Matsumoto “Yuri Kosaka”,76,ESFP, 2w3,Explorador
SK∞,Sketchy,76,ISTP, 5w6,Explorador
Fate/Stay Night,Assassin,76,ISTP, 9w1,Explorador
Ousama Ranking (Ranking of Kings),King Desha,76,ESTP, 8w7,Explorador
Hikaru ga Shinda Natsu,Yoshiki,76,ISTJ, 9w1,Sentinela
Fruits Basket (2019),Mitsuru (Mit-chan),76,ISFJ, 6w7,Sentinela
Irozuku Sekai no Ashita kara,Tsukishiro Hitomi,76,INFP, 4w5,Diplomatico
Grappler Baki,Kaoru Hanayama,76,ISTJ, 8w9,Sentinela
Tokyo Revengers,Bonten,76,INTJ, 5w4,Analista
Nisekoi,Tsugumi Seishirou,76,ISTP, 6w5,Explorador
Vanitas no Carte,The Teacher (The Shapeless One),76,ENTP, 5w4,Analista
Bishoujo Senshi Sailor Moon,Sailor Galaxia,76,ENTJ, 8w7,Analista
Saint Seiya,Ophiucus Shaina,76,ESTJ, 3w4,Sentinela
Jibaku Shounen Hanako-kun,Mirai,76,ENFP, 7w8,Diplomatico
Ping Pong the Animation,"Wenge Kong ""China""",76,ENTJ, 4w3,Analista
Mononoke Hime,Kodama,76,INFP, 9w1,Diplomatico
Hunter X Hunter,Basho,76,ISFP, 5w4,Explorador
Fairy Tail,Sting Eucliffe,76,ESTP, 6w7,Explorador
Texhnolyze,Ichise,76,ISFP, 9w8,Explorador
Juuni Taisen,"Usagi, Warrior of the Rabbit",76,INTJ, 7w8,Analista
Gintama,Mutsu,76,ISTJ, 5w6,Sentinela
Naruto Shippūden,Samui,76,ISTP, 5w6,Explorador
Keroro Gunsou (Sgt. Keroro),Keroro,76,ENFP, 7w8,Diplomatico
JoJo Stands,『Death 13』,76,ENTP, 7w8,Analista
Kaiji,Kazutaka Hyoudou,76,ENTJ, 8w7,Analista
Saiki Kusuo no Psi-nan,Shinoda Takeru,76,ISFP, 7w6,Explorador
Blue Lock,Otoya Eita,76,ISTP, 7w8,Explorador
Keroro Gunsou (Sgt. Keroro),Dororo,76,INFJ, 9w1,Diplomatico
Tokyo Aliens,Amamiya Reiji,76,ENTP, 5w4,Analista
Yu-Gi-Oh! GX,Asuka Tenjouin (Alexis Rhodes),75,ESFJ, 3w2,Sentinela
Kimetsu no Yaiba,Tsugikuni Michikatsu (Kokushibo in his human days),75,INTJ, 9w8,Analista
Katekyo Hitman Reborn!,Xanxus,75,ENTJ, 8w9,Analista
Karigurashi no Arrietty,Homily Clock,75,ISFJ, 6w5,Sentinela
Tonari no Kaibutsu-kun,Yoshida Yuzan,75,ENTP, 7w8,Analista
JoJo Stands,『Echoes』,75,ISTP, 9w8,Explorador
D.Gray-man,Road Kamelot,75,ENFP, 7w8,Diplomatico
Magi,Ren Kouha,75,ESTP, 7w8,Explorador
Dragon Ball Z,Cooler,75,ESTJ, 8w9,Sentinela
Durarara!!,Mikajima Saki,75,INFP, 9w8,Diplomatico
JoJo Stands,『Silver Chariot』,75,ISTJ, 1w9,Sentinela
Black Lagoon,Shenhua,75,ESFP, 7w8,Explorador
Ajin,Tanaka Kouji,75,ISFP, 9w8,Explorador
Kamikaze Kaito Jeanne,Maron Kusakabe,75,ENFJ, 6w7,Diplomatico
Shimanami Tasogare,Anonymous,75,INFJ, 9w8,Diplomatico
Hamatora The Animation,Art,75,INFJ, 1w2,Diplomatico
Serial Experiments Lain,Yasuo Iwakura,75,ENTP, 5w4,Analista
Blue Lock,Gin Gagamaru,75,ISTP, 9w8,Explorador
Shokugeki no Souma,Jōichirō Saiba,75,ENTP, 7w8,Analista
Ginga Eiyuu Densetsu,Walter von Shenkopp,75,ESTP, 8w7,Explorador
Meikyuu Black Company,Kinji Ninomiya,75,ENTJ, 3w4,Analista
Nanbaka,Liang,75,INTJ, 8w7,Analista
Princess Principal,Ange le Carré,75,INTJ, 6w5,Analista
Date A Live,White Queen,75,ENTJ, 8w7,Analista
Black Lagoon,"Janet ""Greenback Jane"" Bhai",75,INTP, 5w4,Analista
Love Live! Superstar!!,Mei Yoneme,75,ISFP, 6w7,Explorador
Hunter X Hunter,Hina,75,ESFP, 3w2,Explorador
Babylon,Zen Seizaki,75,ISTJ, 5w6,Sentinela
Kemono Jihen,Yoko Inari,75,ESFP, 3w2,Explorador
Shokugeki no Souma,Shun Ibusaki,75,INTP, 5w6,Analista
Shokugeki no Souma,Terunori Kuga,75,ENTP, 7w8,Analista
Romantic Killer,Junta Hayami,75,ISFJ, 2w1,Sentinela
Pocket Monsters SPECIAL,Black,75,ENTJ, 7w8,Analista
Psycho-Pass,Gu-Sung Choe,75,INTP, 9w8,Analista
Metal Fight Beyblade,Tsubasa Ootori,75,ISTP, 9w1,Explorador
Sousei no Onmyouji,Benio Adashino,75,INTJ, 1w9,Analista
Zero no Tsukaima,Louise Françoise Le Blanc de La Vallière,75,ESTJ, 8w7,Sentinela
Another,Teshigawara Naoya,74,ESFP, 7w6,Explorador
Pocket Monsters SPECIAL,Moon,74,INTP, 5w6,Analista
Nichijou,Sakamoto,74,ISTJ, 1w9,Sentinela
Kara no Kyoukai,Asagami Fujino,74,ISFP, XwX,Explorador
Pokémon,Kyogre,74,ISFP, 1w2,Explorador
Kami no Tou,Khun Eduan,74,ESTP, 7w8,Explorador
Haikyuu!!,Nekomata Yasufumi,74,ENTP, 8w7,Analista
Fruits Basket (2019),Yuki's Mother,74,ESTJ, 3w4,Sentinela
Gotoubun no Hanayome,Raiha Uesugi,74,ESFJ, 2w1,Sentinela
Pokémon,Suicune,74,INFJ, 4w5,Diplomatico
New Game!,Hifumi Takimoto,74,INFP, 9w1,Diplomatico
Kill Me Baby,Agiri Goshiki,74,ENTP, 9w8,Analista
Gintama,Kawakami Bansai,74,ISTP, 5w4,Explorador
Kuma Kuma Kuma Bear,Yuna,74,INTP, 5w4,Analista
Berserk,Nina,74,ISFP, 6w7,Explorador
Nijuuseiki Shounen,"Kiyoshi Sada ""Sadakiyo""",74,INFP, 6w5,Diplomatico
Youkoso Jitsuryoku Shijou no Kyoushitsu,Kohei Katsuragi,74,ISTJ, 6w5,Sentinela
Dr. Stone,Nikki Hanada,74,ENFP, 6w7,Diplomatico
Claymore,Flora,74,INTP, 5w6,Analista
Bleach,Nelliel Tu Odelschwanck,74,INFJ, 1w2,Diplomatico
Watashi ga Motete Dousunda,Yuusuke Igarashi,74,ENFJ, 9w8,Diplomatico
Saint Seiya The Lost Canvas,Cancer Manigoldo,74,ESTP, 8w7,Explorador
Tate no Yuusha no Nariagari,Fitoria,74,INFJ, 1w9,Diplomatico
Shingeki no Kyojin,Kitz Woermann,74,ISTJ, 1w9,Sentinela
JoJo no Kimyou na Bouken,Magent Magent,74,ENFP, 6w5,Diplomatico
Blue Lock,Aryu Jyubei,74,ISFP, 4w3,Explorador
Detective Conan,Morofushi Taka'aki (Komei),74,INFJ, 5w4,Diplomatico
Paradise Kiss,Mikako Kōda,74,ESFP, 8w7,Explorador
Vanitas no Carte,Moreau,74,ESFP, 7w8,Explorador
Haikyuu!!,Yamaka Mika,74,ISFJ, 2w1,Sentinela
Yu-Gi-Oh! GX,Ryo Marufuji (Zane Truesdale),74,ISTJ, 5w6,Sentinela
Bishoujo Senshi Sailor Moon,Kou Yaten (Sailor Star Healer),74,INTJ, 3w4,Analista
JoJo no Kimyou na Bouken,Squalo,74,ESTP, 7w8,Explorador
Kagerou Project,Azami,74,ISTJ, 4w5,Sentinela
Kingdom,Kan Ki,74,ENTP, 8w7,Analista
Beyblade Burst,Phi,74,INTJ, 3w4,Analista
Detective Conan,Shiho Miyano,74,INTJ, 5w6,Analista
The God of High School,Yu Mi-Ra,74,ESFJ, 6w5,Sentinela
Violet Evergarden,Taylor Bartlett,74,ENFP, 7w6,Diplomatico
Monster Musume no Iru Nichijou,Miia,74,ENFP, 3w2,Diplomatico
JoJo Stands,『Heaven's Door』,74,INFJ, 5w4,Diplomatico
Hellsing Ultimate,Schrödinger,74,ENTP, 7w6,Analista
Yarichin Bitch Club,Akemi Keiichi,74,ENFJ, 3w4,Diplomatico
Shouwa Genroku Rakugo Shinjuu,Yakumo Yuurakutei,74,ISTJ, 1w9,Sentinela
Nanatsu no Taizai,Monspiet,74,INTP, 9w8,Analista
Mirai Nikki,John Bacchus,74,INTJ, 1w2,Analista
Himouto! Umaru-chan,Kongou Hikari,74,INTP, 5w4,Analista
Wave!!: Surfing Yappe!!,Nalu Tanaka,74,ESTP, 7w8,Explorador
Noragami,Ebisu,74,ISTJ, 1w2,Sentinela
Parasite in Love,Hijiri Sanagi,74,INFJ, 5w6,Diplomatico
Saint Seiya,KIKI,74,ENFP, 7w6,Diplomatico
Hare-Kon.,Ryuunosuke Date,74,ENTP, 7w8,Analista
Kimetsu no Yaiba,Yuichiro Tokito,74,ISTJ, 6w5,Sentinela
Junji Ito Collection,Fuchi,74,ESFP, 4w3,Explorador
Karneval,Karoku Arumerita,73,INFJ, 5w4,Diplomatico
Haikyuu!!,Yamamoto Akane,73,ENFP, 8w9,Diplomatico
Hirunaka No Ryuusei,Satsuki Shishio,73,ENTP, 7w6,Analista
Mobile Suit Gundam SEED,Athrun Zala,73,ISTJ, 1w9,Sentinela
Re:Zero Kara Hajimeru Isekai Seikatsu,Carmilla,73,INFP, 6w5,Diplomatico
Beyblade Burst,Lane Valhalla,73,INTJ, 8w7,Analista
Ballroom e Youkoso,Kiyoharu Hyoudou,73,INTP, 5w4,Analista
Fumetsu no Anata e,Kansatsusha,73,INTJ, 5w6,Analista
Kingdom,Mou Ten,73,ENTP, 9w8,Analista
Last Exile,Alexander Row,73,INTJ, 5w6,Analista
Demashita! Powerpuff Girls Z (PPGZ),Momoko Akatsutsumi (Hyper Blossom),73,ENFJ, 7w6,Diplomatico
JoJo no Kimyou na Bouken,Pocoloco,73,ESFP, 7w6,Explorador
Non Non Biyori,Koshigaya Komari,73,ESTJ, 3w4,Sentinela
Ginga Eiyuu Densetsu,Wolfgang Mittermayer,73,ENFJ, 3w2,Diplomatico
Mushoku Tensei: Isekai Ittara Honki Dasu,Sylphiette,73,ISFJ, 9w1,Sentinela
Pocket Monsters SPECIAL,Platinum Berlitz,73,ISTJ, 1w9,Sentinela
Dragon Ball Z,Vados,73,INTJ, 5w6,Analista
Darling in the Franxx,Futoshi,73,ISFP, 6w7,Explorador
Deadman Wonderland,Senji Kiyomasa,73,ESTP, 8w7,Explorador
Girls und Panzer,Yukari Akiyama,73,ENFP, 6w5,Diplomatico
Shingeki no Kyojin,Mikasa's Mother,73,ISFJ, 2w1,Sentinela
Rozen Maiden,Sakurada Jun,73,INFP, 4w5,Diplomatico
Dragon Ball Z,Shenron,73,INTJ, 1w9,Analista
Lupin III,Koichi Zenigata,73,ESTJ, 3w2,Sentinela
Ginga Eiyuu Densetsu,Hildegard von Lohengramm,73,ISTJ, 5w6,Sentinela
Bungou Stray Dogs,Albatross,73,ESFP, 7w6,Explorador
7SEEDS,Natsu Iwashimizu,73,INFP, 9w1,Diplomatico
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,Ferdinand,73,INTJ, 5w6,Analista
Detective Conan,Mary Sera,73,INTP, 5w4,Analista
Corpse Party: Tortured Souls,Yuuya Kizami,73,ISTP, 8w9,Explorador
Sora yori mo Tooi Basho (Yorimoi),Miyake Hinata,73,ESTP, 7w6,Explorador
Hinamatsuri,Hina,73,ISTP, 9w8,Explorador
Uma Musume: Pretty Derby,Haru Urara,73,ESFP, 7w6,Explorador
Naruto Shippūden,Pakkun,73,ISTP, 9w8,Explorador
IDOLiSH7,Gaku Yaotome,73,ESTJ, 8w7,Sentinela
Genjitsu Shugi Yuusha no Oukoku Saikenki,Kazuya Souma,73,ENTJ, 3w2,Analista
Fate/Zero,Maiya Hisau,73,ISTJ, 6w5,Sentinela
Mermaid Melody Pichi Pichi Pitch,Kaito Domoto,73,ESTP, 7w8,Explorador
Akuyaku Reijou nanode Last Boss wo Kattemimashita,Claude Jeanne Elmir,73,INTJ, 1w9,Analista
Grisaia no Kajitsu,Suou Amane,73,ENFJ, 2w3,Diplomatico
Amnesia,Ikki,73,ENFJ, 3w2,Diplomatico
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka (Danmachi),Ryu Lion,73,INTJ, 5w6,Analista
Mousou Dairinin,Yuichi Taira,73,ENTP, 3w2,Analista
Hakuouki,Souji Okita,73,ESTP, 6w7,Explorador
Haikyuu!!,Kuguri Naoyasu,73,INTP, 5w6,Analista
Super Lovers,Haru Kaidou,73,ENFJ, 6w7,Diplomatico
Another,Kazami Tomohiko,73,ISTJ, 1w2,Sentinela
Kono Subarashii Sekai ni Shukufuku wo! (Konosuba),Eris,73,INFJ, 9w1,Diplomatico
Beastars,Legom,73,ISTJ, 1w2,Sentinela
"Komi-san wa, Komyushou desu.",Masayoshi Komi,72,ISTJ, 6w5,Sentinela
Ryuu to Sobakasu no Hime,Shinjirou Chikami,72,ESFP, 7w6,Explorador
Grisaia no Kajitsu,Sakaki Yumiko,72,INTP, 5w4,Analista
Aikatsu!,Ichigo Hoshimiya,72,ENFP, 2w3,Diplomatico
Domestic na Kanojo,Fujii Natsuo,72,ISFP, 4w3,Explorador
Shuumatsu no Valkyrie,Souji Okita,72,ESTP, 8w7,Explorador
Detective Conan,Sato Miwako (Michele Simone),72,ISTP, 6w5,Explorador
Pokémon,Iris (anime),72,ESTP, 7w8,Explorador
Color Recipe,Shoukichi,72,ISTJ, 6w5,Sentinela
Princess Connect! Re:Dive,Karyl Momochi,72,ISTP, 6w5,Explorador
Ouran Koukou Host Club,Shiro Takaoji,72,ISTP, 6w5,Explorador
IDOLiSH7,Natsume Minami,72,INTJ, 5w6,Analista
Boruto - Naruto Next Generations,Hōki Taketori,72,INTP, 6w5,Analista
Lovely Complex,Ryoji Suzuki,72,INFP, 5w4,Diplomatico
Shigatsu wa Kimi no Uso,Arima Saki,72,ISTJ, 1w2,Sentinela
Shounen no Abyss,Nagi Aoe,72,ISTP, 9w8,Explorador
Nana,Naoki Fujieda,72,ESFP, 6w7,Explorador
Bleach,Shūkurō Tsukishima,72,ENFJ, 3w2,Diplomatico
AKIRA,Kaori,72,INFP, 9w1,Diplomatico
Pandora Hearts,Ada Vessalius,72,ESFJ, 2w1,Sentinela
Danganronpa 3: The End of Kibougamine Gakuen,Byakuya Togami,72,ENTJ, 8w7,Analista
Sayonara Zetsubou Sensei,Fuura Kafuka,72,ENFP, 7w6,Diplomatico
Sakura Trick,Takayama Haruka,72,INFJ, 9w1,Diplomatico
Naruto Shippūden,Choji Akimichi (Road to Ninja),72,ISTP, 5w6,Explorador
Bleach,Sajin Komamura,72,ISTJ, 1w9,Sentinela
Violet Evergarden,Clara Magnolia,72,INFJ, 9w1,Diplomatico
Yuu Yuu Hakusho,Sakyo,72,INTJ, 7w8,Analista
Isekai Quartet,Subaru Natsuki,72,ENFP, 7w6,Diplomatico
Litchi☆Hikari Club,Hiroyuki Tsunekawa (Zera),72,INTJ, 8w7,Analista
Detective Conan,Kazuha Toyama (Kirsten Thomas),72,ISFP, 9w1,Explorador
Beyblade Burst,Gwyn Reynolds,72,INTJ, 5w6,Analista
Kami no Tou,Khun Hachuling,72,INTP, 7w8,Analista
Sakamoto Days,Sakamoto Taro,72,ISTP, 9w8,Explorador
Shaman King,Lyserg Diethel,72,INFJ, 6w5,Diplomatico
Bungou Stray Dogs,Adam Frankenstein,72,ISFJ, 1w2,Sentinela
Bishounen Tanteidan,Michiru Fukuroi,72,ISTP, 8w9,Explorador
Boku no Hero Academia,"Kosei Tsuburaba ""Air Lock""",72,ENTP, 7w8,Analista
Gleipnir,Shuichi Kagaya,72,INFJ, 2w1,Diplomatico
Golden Kamuy,Tsukishima Hajime,72,ISTJ, 9w8,Sentinela
Berserk,Emperor Ganishka,72,ENTJ, 8w9,Analista
Inazuma Eleven GO,Kariya Masaki,72,ENTP, 7w6,Analista
The Evillious Chronicles,Clarith Netsuma,72,INFP, 9w1,Diplomatico
Dragon Ball Z,Gotenks,72,ESTP, 7w8,Explorador
JoJo Stands,『The Hand』,72,ESTJ, 8w9,Sentinela
Kuroshitsuji,Aleister Chamber,72,ESFP, 3w4,Explorador
Fullmetal Alchemist: Brotherhood,Tim Marcoh,72,INTP, 5w4,Analista
Saiki Kusuo no Psi-nan,Jouten Manako,72,ENTJ, 3w4,Analista
"Sentouin, Hakenshimasu!",Snow,72,ISFJ, 6w5,Sentinela
Jigokuraku,Aza Toma,72,ISFP, 6w7,Explorador
Black Cat,Train Heartnet,71,ENTP, 9w8,Analista
Kimetsu no Yaiba,Sun Breathing,71,ENFJ, 1w9,Diplomatico
Sabikui Bisco,Milo Nekoyanagi,71,INFJ, 2w1,Diplomatico
Bishoujo Senshi Sailor Moon,Queen Beryl,71,ENTJ, 3w4,Analista
Ryman's Club,Shiratori Mikoto,71,INTJ, 5w4,Analista
One Piece,Capone Bege,71,ESTJ, 8w9,Sentinela
Spy × Family,George Glooman,71,INFP, 6w5,Diplomatico
Haikyuu!!,Shibayama Yuuki,71,ISFP, 4w3,Explorador
Claymore,Deneve,71,ISTJ, 1w9,Sentinela
Bleach,Lisa Yadōmaru,71,ISTP, 5w6,Explorador
Shigatsu wa Kimi no Uso,Kashiwagi Nao,71,ISTP, 9w8,Explorador
Tennis no Ouji-sama,Keigo Atobe,71,ENTJ, 3w4,Analista
Dragon Ball Z (Abridged),Son Goku (TFS DBZ Abridged),71,ENFP, 7w6,Diplomatico
Crayon Shin-chan,Nene Sakurada (Penny),71,ESTJ, 8w7,Sentinela
Romantic Killer,Saki,71,INFJ, 6w5,Diplomatico
IDOLiSH7,Tsumugi Takanashi,71,ENFJ, 2w1,Diplomatico
Kengan Ashura/Kengan Omega,Hanafusa Hajime,71,ENTP, 5w4,Analista
JoJo Stands,『Anubis』,71,ENTJ, 8w7,Analista
Strawberry Panic,Shizuma Hanazono,71,INFJ, 4w5,Diplomatico
Ranma ½,Nabiki Tendo,71,ENTJ, 3w4,Analista
Jibaku Shounen Hanako-kun,Mokke,71,ESFP, 7w6,Explorador
Nagato Yuki-chan no Shoushitsu,Yuki Nagato,71,INTP, 9w1,Analista
Hellsing Ultimate,Jan Valentine,71,ESTP, 7w8,Explorador
Shuumatsu no Valkyrie,Göll,71,INFP, 6w5,Diplomatico
Shuumatsu no Valkyrie,Raiden Tameemon,71,ESFP, 7w8,Explorador
Hanyou no Yashahime: Sengoku Otogizoushi,Setsuna,71,ISTJ, 1w9,Sentinela
Baccano!,Firo Prochainezo,71,ENTP, 2w1,Analista
Saint Seiya,Capricorn Shura,71,ISTJ, 6w5,Sentinela
Fate/Stay Night,Taiga Fujimura,71,ESFP, 7w6,Explorador
Bungou Stray Dogs,Rokuzo Taguchi,71,INTP, 6w5,Analista
Serial Experiments Lain,Eiri Masami,71,ENTJ, 3w4,Analista
Tejina-senpai,Senpai,71,ENFP, 7w6,Diplomatico
Boruto - Naruto Next Generations,Shinki,71,ISTJ, 1w9,Sentinela
Ouran Koukou Host Club,Benio Amakusa,71,ENFJ, 3w4,Diplomatico
White Album 2,Kazusa Touma,71,ISTP, XwX,Explorador
One Piece,Kozuki Momonosuke,71,ISTJ, 1w9,Sentinela
Yarichin Bitch Club,"Toru Fujisaki ""Jimmy""",71,INFP, 4w5,Diplomatico
Kanata no Astra,Lacroix Charce,71,INFJ, 4w5,Diplomatico
Tanaka-kun wa Itsumo Kedaruge,Echizen,71,ESTP, 6w7,Explorador
Crayon Shin-chan,Misae Nohara (Mitsy),71,ESFP, 7w8,Explorador
Aikatsu!,Aoi Kiriya,71,ENFJ, 9w1,Diplomatico
Hunter X Hunter,Abengane,71,INFJ, 6w5,Diplomatico
Dragon Ball Z,Granolah,70,ISFP, 3w4,Explorador
Pokémon,Gastly (Ghos),70,ENTP, 7w8,Analista
Naka no Hito Genome (Jikkyouchuu),Oshigiri Zakuro,70,INTJ, 1w9,Analista
Bleach,Isshin Kurosaki,70,ESFP, 7w8,Explorador
Solanin,Meiko Inoue,70,INFP, 4w5,Diplomatico
